"","관리기관명","소재지도로명주소","설치목적구분","카메라대수","우편번호","행정동명"
"310","관악구청","난곡로26나길","다목적",5,"08856","난곡동"
"311","관악구청","난곡로35나길","다목적",1,"08858","난곡동"
"312","관악구청","난향길","다목적",5,"08859","난향동"
"313","관악구청","난향2길","다목적",5,"08859","난향동"
"314","관악구청","난곡로9길","다목적",1,"08859","난향동"
"315","관악구청","남현12길","다목적",5,"08803","남현동"
"316","관악구청","남부순환로260길","다목적",4,"08803","남현동"
"317","관악구청","남현12길","다목적",5,"08803","남현동"
"318","관악구청","남현길","다목적",4,"08806","남현동"
"319","관악구청","남현6길","다목적",1,"08804","남현동"
"320","관악구청","호암로22길","다목적",5,"08819","대학동"
"321","관악구청","대학6길","다목적",5,"08813","대학동"
"322","관악구청","신림로67","다목적",3,NA,NA
"323","관악구청","신림로3가길","다목적",4,"08814","대학동"
"324","관악구청","대학10길","다목적",1,"08819","대학동"
"325","관악구청","난곡로52길","다목적",4,"08772","미성동"
"326","관악구청","법원단지5나길","다목적",2,"08851","미성동"
"327","관악구청","미성3길","다목적",5,"08865","미성동"
"328","관악구청","문성로16길","다목적",3,"08864","미성동"
"329","관악구청","미성7길","다목적",5,"08865","미성동"
"330","관악구청","봉천로13길","다목적",4,"08721","보라매동"
"331","관악구청","보라매로3길","다목적",1,"08708","보라매동"
"332","관악구청","보라매로14-5","다목적",4,NA,NA
"333","관악구청","당곡6길","다목적",1,"08710","보라매동"
"334","관악구청","당곡6길","다목적",4,"08710","보라매동"
"335","관악구청","봉천로7길","다목적",2,"08708","보라매동"
"336","관악구청","호암로18나길","다목적",5,"08821","삼성동"
"337","관악구청","호암로16길","다목적",1,"08821","삼성동"
"338","관악구청","호암로528,농협하나로마트부근","다목적",4,NA,NA
"339","관악구청","약수암길","다목적",4,"08823","삼성동"
"340","관악구청","양지길","다목적",2,"08846","삼성동"
"341","관악구청","쑥고개로2다길","다목적",5,"08829","서림동"
"342","관악구청","남부순환로192길","다목적",1,"08779","서원동"
"343","관악구청","신림로36길","다목적",5,"08828","서림동"
"344","관악구청","신림로38길","다목적",5,"08828","서림동"
"345","관악구청","복은12길","다목적",5,"08834","서림동"
"346","관악구청","서원길","다목적",3,"08844","서원동"
"347","관악구청","서원5길","다목적",1,"08844","서원동"
"348","관악구청","문성로40길","다목적",4,"08844","서원동"
"349","관악구청","신림로48길","다목적",3,"08781","서원동"
"350","관악구청","구암길","다목적",3,"08725","성현동"
"351","관악구청","관악로37길","다목적",1,"08727","성현동"
"352","관악구청","은천로35바길","다목적",1,"08728","성현동"
"353","관악구청","은천로35길","다목적",5,"08728","성현동"
"354","관악구청","성현로53,구암중학교부근","다목적",4,NA,NA
"355","관악구청","신림로71길","다목적",4,"08707","신림동"
"356","관악구청","관천로24길","다목적",1,"08706","신림동"
"357","관악구청","관천로11길","다목적",5,"08762","신사동"
"358","관악구청","남부순환로151길","다목적",3,"08762","신사동"
"359","관악구청","조원로31길","다목적",5,"08704","신사동"
"360","관악구청","남부순환로161길","다목적",5,"08763","신사동"
"361","관악구청","난곡로66가길","다목적",3,"08761","신사동"
"362","관악구청","남부순환로149길","다목적",3,"08761","신사동"
"363","관악구청","남부순환로166길","다목적",4,"08773","신원동"
"364","관악구청","문성로32길","다목적",1,"08843","신원동"
"365","관악구청","문성로38다길","다목적",3,"08843","신원동"
"366","관악구청","문성로38길","다목적",1,"08843","신원동"
"367","관악구청","국회단지13길","다목적",5,"08713","은천동"
"368","관악구청","국회단지6길","다목적",3,"08714","은천동"
"369","관악구청","국회단지5길","다목적",1,"08713","은천동"
"370","관악구청","봉천로355","다목적",2,NA,NA
"371","관악구청","봉천로25길","다목적",1,"08749","은천동"
"372","관악구청","은천로6","다목적",5,NA,NA
"373","관악구청","인헌9길","다목적",1,"08795","인헌동"
"374","관악구청","인헌길","다목적",3,"08793","인헌동"
"375","관악구청","인헌1나길","다목적",1,"08795","인헌동"
"376","관악구청","인헌1길","다목적",1,"08795","인헌동"
"377","관악구청","인헌16길","다목적",4,"08797","인헌동"
"378","관악구청","낙성대역6길","다목적",5,"08799","인헌동"
"379","관악구청","조원로6길","다목적",6,"08769","조원동"
"380","관악구청","조원로4길","다목적",4,"08769","조원동"
"381","관악구청","남부순환로145길","다목적",5,"08767","조원동"
"382","관악구청","봉천로471-1","다목적",1,NA,NA
"383","관악구청","중앙길","다목적",1,"08743","중앙동"
"384","관악구청","봉천로41길","다목적",5,"08748","중앙동"
"385","관악구청","장군봉2길","다목적",5,"08782","청룡동"
